Number,Title,Category,Sub-category,Author,Co-authors,Votes For,Votes Against,Date Implemented
240,Sexual Autonomy Guarantee,Civil Rights,Significant,Ossitania,,11506,1342,2013-02-19 00:00:01-05:00
241,"Repeal ""Consumer Product Safety""",Repeal,139,Sciongrad,,8405,4080,2013-02-27 12:00:01-05:00
242,Biological Warfare Convention,Global Disarmament,Significant,Sciongrad,,8606,4245,2013-03-03 12:00:02-05:00
243,Language Preservation,Education and Creativity,Cultural Heritage,Ile Royale,,10898,3080,2013-03-12 00:00:01-04:00
244,Physical Sites Protection Act,Environmental,All Businesses - Strong,Ceni,,7590,5846,2013-03-16 00:00:02-04:00
245,"Repeal ""First Responder Protection Act""",Repeal,237,Suevo-prussia,,10960,1573,2013-03-24 00:00:01-04:00
246,"Repeal ""Vehicle Emissions Convention""",Repeal,239,Auralia,,10051,2398,2013-03-28 00:00:01-04:00
247,Rights of Crime Victims,Civil Rights,Significant,Cowardly Pacifists,,10327,2976,2013-04-08 00:00:02-04:00
248,Against Corruption,Political Stability,Significant,Topid,,9319,4745,2013-04-18 00:00:02-04:00
249,Stopping Suicide Seeds,Environmental,All Businesses - Strong,Christian Democrats,,9956,4312,2013-05-17 00:00:01-04:00
250,"Repeal ""Reduction of Abortion Act""",Repeal,44,Studly Penguins,,9183,3977,2013-05-29 00:00:02-04:00
251,"Repeal ""Physical Sites Protection Act""",Repeal,244,The Dourian Embassy,Gatchina,9593,3160,2013-06-02 00:00:02-04:00
252,"Repeal ""International Competition Law""",Repeal,70,The Dourian Embassy,Glen-Rhodes,10951,1634,2013-06-11 12:00:01-04:00
253,"Repeal ""Freedom in Medical Research""",Repeal,171,Christian Democrats,,8777,2728,2013-06-29 00:00:01-04:00
254,Invasive Species Response Act,Environmental,All Businesses - Strong,Icamera,Ceni,7321,3817,2013-07-07 12:00:01-04:00
255,Rights of Neutral States,Global Disarmament,Mild,Sciongrad,,5833,5508,2013-07-16 12:00:02-04:00
256,Foreign Trademark Recognition,Free Trade,Mild,Auralia,,8347,1774,2013-07-20 12:00:01-04:00
257,Reducing Automobile Emissions,Environmental,Automotive,Abacathea,,8365,2390,2013-07-29 12:00:02-04:00
258,"Repeal ""Invasive Species Response Act""",Repeal,254,Bergnovinaia,,8908,1814,2013-08-06 12:00:01-04:00
259,Stopping Invasive Species,Environmental,All Businesses - Strong,Ceni,Icamera,7615,3517,2013-08-13 00:00:02-04:00
260,"Repeal ""Access to Science in Schools""",Repeal,48,Auralia,,6046,4816,2013-08-18 00:00:02-04:00
261,Rainforest Protection Act,Environmental,Logging,The Scientific States,Grobladonia,8966,3001,2013-08-22 00:00:01-04:00
262,"Repeal ""Rainforest Protection Act""",Repeal,261,Auralia,,6429,5183,2013-09-11 00:00:01-04:00
263,Uranium Mining Standards Act,Environmental,Mining,Abacathea,,6868,4126,2013-09-15 00:00:01-04:00
264,"Repeal ""Language Preservation""",Repeal,243,Saveyou Island,The Last Homely House,8154,2756,2013-09-23 00:00:01-04:00
265,"Repeal ""Animal Protection Act """,Repeal,228,The Dourian Embassy,,9762,2259,2013-10-12 00:00:01-04:00
266,Chemical Weapons Protocol,International Security,Mild,Chester Pearson,,6857,5431,2013-10-16 00:00:02-04:00
267,Sensible Limits on Hunting,Moral Decency,Mild,Bears Armed Mission,Hirota,7463,5398,2013-10-31 00:00:01-04:00
268,"Repeal ""Chemical Weapons Protocol""",Repeal,266,The Dourian Embassy,Chester Pearson,10731,2036,2013-11-04 12:00:01-05:00
269,"Repeal ""Against Corruption""",Repeal,248,The Dourian Embassy,Cormac A Stark,10679,1850,2013-11-08 12:00:01-05:00
270,"Repeal ""Rights of the Disabled Act""",Repeal,227,Mosktopia,,10464,1936,2013-11-12 12:00:02-05:00
271,"Repeal ""Protection of Outer Space Act""",Repeal,63,The Dourian Embassy,,10895,1491,2013-11-22 00:00:02-05:00
272,Chemical Weapons Accord,International Security,Mild,Chester Pearson,The Dourian Embassy,6689,5712,2013-11-26 00:00:01-05:00
273,"Repeal ""Internet Net Neutrality Act""",Repeal,89,Auralia,,10019,2395,2013-11-30 00:00:01-05:00
274,"Repeal ""Renewable Energy Installations""",Repeal,236,Mosktopia,Mousebumples,10385,1944,2013-12-04 00:00:01-05:00
275,"Repeal ""Cultural Heritage Protection""",Repeal,72,The Dourian Embassy,,8859,3166,2013-12-08 00:00:02-05:00
276,"Repeal ""The Early Learning Act""",Repeal,230,The Black Hat Guy,The Dourian Embassy,9605,2535,2013-12-20 00:00:01-05:00
277,"Repeal ""Dignified End of Life Choices""",Repeal,54,The Dourian Embassy,Mousebumples,8972,2383,2013-12-24 00:00:02-05:00
278,"Repeal ""Anti-Cyberterrorism Act """,Repeal,100,The Dourian Embassy,,8921,2301,2014-01-13 00:00:01-05:00
279,Right of Emigration,Civil Rights,Significant,Abacathea,,9026,2627,2014-01-17 00:00:01-05:00
280,"Repeal ""International Radio Act""",Repeal,75,Milograd,The Dourian Embassy,9609,1417,2014-01-21 00:00:01-05:00
281,Industrial Pollution Control ,Environmental,All Businesses - Strong,Sakash,,7446,4361,2014-01-29 00:00:01-05:00
282,"Repeal ""Protect War Correspondents""",Repeal,170,The Dourian Embassy,Venico,5928,4926,2014-02-02 00:00:01-05:00
283,"Repeal ""Industrial Pollution Control """,Repeal,281,Auralia,,8029,3036,2014-02-18 00:00:02-05:00
284,"Repeal ""Ethics in International Trade""",Repeal,118,Sciongrad,,8576,2364,2014-02-22 00:00:01-05:00
285,Assisted Suicide Act,Civil Rights,Mild,Christian Democrats,,8052,3385,2014-02-26 00:00:02-05:00
286,Reproductive Freedoms,Civil Rights,Significant,Eireann Fae,,7786,3649,2014-03-02 00:00:01-05:00
287,Cultural Site Preservation,Education and Creativity,Cultural Heritage,Temple of the Maat,,7075,4135,2014-03-06 00:00:01-05:00
288,Right to Adequate Sanitation,Social Justice,Significant,Elke and Elba,,7347,3553,2014-03-14 12:00:01-04:00
289,Radiological Terrorism,International Security,Mild,Sciongrad,,7570,3489,2014-05-01 00:00:01-04:00
290,Protecting Migratory Animals,Environmental,All Businesses - Strong,Mosktopia,,6042,4074,2014-05-05 00:00:01-04:00
291,Sustainable Forest Management,Environmental,Logging,Cardoness,,8132,3525,2014-05-17 00:00:01-04:00
292,Nuclear Security Convention,International Security,Mild,Chester Pearson,Abacathea,8806,1855,2014-06-14 00:00:02-04:00
293,"Repeal ""International Criminal Court""",Repeal,102,Mousebumples,Ainocra,6071,4095,2014-06-18 00:00:01-04:00
294,"Repeal ""Multilateral Prosecution Act""",Repeal,99,Mousebumples,,7746,2325,2014-06-22 00:00:02-04:00
295,"Repeal ""Oil Tanker Standards Act""",Repeal,98,The Dourian Embassy,Renaissancistic People,7897,1548,2014-06-27 12:00:02-04:00
296,Prevention of Wildfires,International Security,Mild,Bears Armed Mission,,7929,2032,2014-07-08 00:00:02-04:00
297,Child Welfare in Adoption,Social Justice,Mild,Sanctaria,,7538,1499,2014-07-12 00:00:01-04:00
298,Reducing Spills and Leaks,Environmental,All Businesses - Strong,The Dourian Embassy,,7189,2029,2014-07-16 00:00:01-04:00
299,Legal Competence,Civil Rights,Significant,Bears Armed Mission,,7135,2282,2014-07-20 00:00:01-04:00
300,Child Pornography Ban,Moral Decency,Significant,Wrapper,,8486,649,2014-07-24 00:00:02-04:00
301,Ban on Leaded Fuel,Environmental,Automotive,Bears Armed Mission,,6255,2822,2014-08-17 12:00:04-04:00
302,Individual Working Freedoms,Advancement of Industry,Labor Deregulation,Gruenberger Overseas Affiliate Territory,,6182,3235,2014-09-06 00:00:01-04:00
303,Debris Prevention,Environmental,Manufacturing,Defwa,,5288,4595,2014-09-19 00:00:01-04:00
304,"Repeal ""The Landmine Convention""",Repeal,40,The Dark Star Republic,,6869,2613,2014-10-04 12:00:01-04:00
305,"Repeal ""The General Patent Charter""",Repeal,93,Railana,,6934,2081,2014-10-12 12:00:01-04:00
306,Rules of Surrender,Civil Rights,Mild,Separatist Peoples,,7757,1416,2014-10-20 00:00:01-04:00
307,Anti-Counterfeiting Pact,International Security,Mild,Separatist Peoples,,8995,1116,2014-11-24 00:00:01-05:00
308,Nuclear Arms Protocol,Global Disarmament,Mild,Chester Pearson,,7805,2897,2015-01-03 12:00:02-05:00
309,Marine Debris Accord,Environmental,All Businesses - Strong,Wilorin,,9657,2152,2015-01-15 00:00:02-05:00
310,Disabled Voters Act,Furtherment of Democracy,Significant,Christian Democrats,,10278,2391,2015-01-24 00:00:01-05:00
311,"Repeal ""Marine Debris Accord""",Repeal,309,Mundiferrum,,9574,2447,2015-01-28 00:00:01-05:00
312,On Universal Jurisdiction,International Security,Significant,Railana,,9393,2376,2015-02-05 00:00:01-05:00
313,"Repeal ""Freedom of Marriage Act""",Repeal,15,Omigodtheyclonedkenny,,9064,2611,2015-02-09 00:00:01-05:00
314,"Repeal ""Defense of Self and Others""",Repeal,183,Bananaistan,,9911,2564,2015-02-13 00:00:01-05:00
315,Nuclear Power Safeguards Act,Environmental,All Businesses - Strong,Pharthan,,6766,5451,2015-02-21 00:00:02-05:00
316,"Repeal ""On Genetically Modified Foods""",Repeal,158,Schutzenphalia and West Ruhntuhnkuhnland,,10742,1767,2015-02-25 00:00:01-05:00
317,Wartime Looting and Pillage,Civil Rights,Significant,Separatist Peoples,,10687,3295,2015-03-05 00:00:02-05:00
318,"Repeal ""Nuclear Testing Safety""",Repeal,119,Jean Pierre Trudeau,,11754,1684,2015-03-09 12:00:02-04:00
319,"Repeal ""Cooperation in Science Act""",Repeal,92,Ainocra,,11902,1965,2015-03-17 12:00:01-04:00
320,Infectious Disease Control,Health,Healthcare,Schutzenphalia and West Ruhntuhnkuhnland,,13434,924,2015-03-21 12:00:01-04:00
321,"Repeal ""International Expositions Act""",Repeal,172,Jean Pierre Trudeau,,12220,1510,2015-03-29 12:00:02-04:00
322,On Scientific Cooperation,Education and Creativity,Educational,Ainocra,,12737,1517,2015-04-02 12:00:02-04:00
323,No Penalty Without Law,Civil Rights,Significant,Sciongrad,,7586,6512,2015-04-07 00:00:01-04:00
324,"Repeal ""Reducing Automobile Emissions""",Repeal,257,The Dark Star Republic,,10623,3829,2015-04-11 00:00:01-04:00
325,Responsible Arms Trading,Global Disarmament,Mild,Sciongrad,,10205,5177,2015-05-06 15:48:32-04:00
326,"Repeal ""Responsible Arms Trading""",Repeal,325,Imperium Anglorum,,11921,3885,2015-05-15 00:00:01-04:00
327,"Repeal ""Sexual Privacy Act""",Repeal,16,The Dark Star Republic,,12262,3397,2015-05-24 12:00:01-04:00
328,Rights of Indigenous Peoples,Civil Rights,Mild,Vancouvia,,9611,5657,2015-06-01 12:00:01-04:00
329,"Repeal ""Rights of Indigenous Peoples""",Repeal,328,Imperium Anglorum,,9876,4693,2015-06-08 00:00:01-04:00
330,Nuclear Testing Protocol,International Security,Mild,Jean Pierre Trudeau,Pharthan,8042,4512,2015-06-16 00:00:02-04:00
331,"Repeal ""The Gem Trading Accord""",Repeal,113,Losthaven,,10925,1641,2015-06-24 00:00:01-04:00
332,"Repeal ""Nuclear Power Safeguards Act""",Repeal,315,Jean Pierre Trudeau,,10590,2017,2015-06-28 00:00:01-04:00
333,Preserving Antimicrobials,Health,Research,Imperium Anglorum,,10424,1865,2015-07-04 00:00:01-04:00
334,Protected Status in Wartime,Civil Rights,Significant,Separatist Peoples,,10177,2044,2015-07-08 00:00:01-04:00
335,Prohibiting Animal Abuse,Moral Decency,Significant,Losthaven,,8882,3618,2015-07-15 00:00:01-04:00
336,World Space Administration,Education and Creativity,Educational,Bitely,,6727,6443,2015-07-19 00:00:02-04:00
337,"Repeal ""Prohibiting Animal Abuse""",Repeal,335,Imperium Anglorum,,9465,1961,2015-07-23 00:00:01-04:00
338,Protection of Sapient Rights,Civil Rights,Significant,Excidium Planetis,,8489,2438,2015-07-27 00:00:01-04:00
339,"Repeal ""World Space Administration""",Repeal,336,Tinfect,,10051,3432,2015-07-31 00:00:01-04:00
340,Access to Humanitarian Aid,Health,International Aid,Separatist Peoples,,10008,1387,2015-08-10 12:00:02-04:00
341,"Repeal ""Living Wage Act""",Repeal,21,Celsuis,,9572,2345,2015-08-28 12:00:02-04:00
342,Civilian Aircraft Accord,International Security,Mild,John Turner,Separatist Peoples,8067,3743,2015-09-08 00:00:02-04:00
343,"Repeal ""Debris Prevention""",Repeal,303,Vancouvia,,11086,1953,2015-09-14 00:00:02-04:00
344,Minimum Standard of Living Act,Social Justice,Strong,Railana,,9226,4971,2015-09-18 00:00:01-04:00
345,Proscription on Living Shields,Civil Rights,Mild,Separatist Peoples,,11048,2679,2015-10-06 12:00:01-04:00
346,Researching Unique Ecosystems,Education and Creativity,Educational,Caracasus,,11189,2164,2015-10-10 12:00:01-04:00
347,Foreign Patent Recognition,Free Trade,Mild,Railana,,9881,4513,2015-10-14 12:00:01-04:00
348,Convention on Ceasefires,Global Disarmament,Mild,Separatist Peoples,,12364,2894,2015-10-29 00:00:02-04:00
349,To Prevent Dangerous Debris,Environmental,Manufacturing,The Defwaen Confederation,,11807,2352,2015-11-16 12:00:01-05:00
350,"Repeal ""Nuclear Security Convention""",Repeal,292,Imperium Anglorum,,10269,3764,2015-11-22 00:00:01-05:00
351,Nuclear Material Safeguards,International Security,Mild,Imperium Anglorum,,7729,7500,2015-12-02 00:00:02-05:00
352,"Repeal ""Protection of Sapient Rights""",Repeal,338,The Global Republic,Excidium Planetis,13072,1600,2015-12-08 12:00:01-05:00
353,"Repeal ""Renewable Research Commitment""",Repeal,182,Vancouvia,,10013,3539,2015-12-24 00:00:01-05:00
354,AI Coexistence Protocol,Civil Rights,Mild,Sierra Lyricalia,,9222,3833,2016-01-01 00:00:01-05:00
355,Rights of Sapient Species,Civil Rights,Strong,Excidium Planetis,,12483,2795,2016-01-09 12:00:01-05:00
356,Landmine Safety Protocol,International Security,Mild,Separatist Peoples,,12764,1888,2016-01-25 12:00:02-05:00
357,Promotion of Clean Energy,Environmental,All Businesses - Strong,Vancouvia,,11743,3897,2016-02-05 00:00:01-05:00
358,Explosive Remnants of War,Health,International Aid,Separatist Peoples,,11028,3826,2016-02-09 00:00:01-05:00
359,Sexual Health and Education Act,Education and Creativity,Educational,Zenatias,,13691,5624,2016-03-17 00:00:02-04:00
360,Cyber Security Convention,International Security,Significant,John Turner,,14100,4749,2016-03-21 00:00:02-04:00
361,"Repeal ""Nuclear Material Safeguards""",Repeal,351,Wrapper,,15559,2520,2016-03-25 00:00:01-04:00
362,"Repeal ""Sexual Health and Education Act""",Repeal,359,Vancouvia,,11801,4260,2016-03-29 00:00:01-04:00
363,Preservation of Artefacts,Education and Creativity,Cultural Heritage,Abacathea,,15585,2523,2016-04-02 00:00:01-04:00
364,"Repeal ""Cyber Security Convention""",Repeal,360,Tinfect,,17739,2281,2016-04-10 00:00:02-04:00
365,Law Enforcement Education,International Security,Significant,Happy People Land,,13200,7404,2016-04-14 00:00:02-04:00
366,"Repeal ""Stopping Suicide Seeds""",Repeal,249,Imperium Anglorum,,16428,3589,2016-04-22 00:00:02-04:00
367,"Repeal ""Preservation of Artefacts""",Repeal,363,Imperium Anglorum,,13328,6337,2016-04-30 00:00:02-04:00
368,"Repeal ""Law Enforcement Education""",Repeal,365,Excidium Planetis,,12955,6190,2016-05-04 00:00:01-04:00
369,Reproductive Education Act,Education and Creativity,Educational,Wallenburg,,14365,4689,2016-05-08 00:00:01-04:00
370,"Repeal ""Stopping Invasive Species""",Repeal,259,Abacathea,,14844,2954,2016-05-12 00:00:01-04:00
371,Toxic Heavy Metals Act,Environmental,All Businesses - Strong,Kaboomlandia,Wrapper,13805,4639,2016-05-20 12:00:02-04:00
372,Preventing Animal Abuse,Moral Decency,Significant,Losthaven,,14994,3777,2016-05-24 12:00:01-04:00
373,"Repeal ""Convention on Execution""",Repeal,112,Christian Democrats,,9937,8435,2016-05-28 12:00:02-04:00
374,The Rule of Law,Civil Rights,Strong,Sciongrad,,13347,2557,2016-06-01 12:00:02-04:00
375,Crime and Punishment,Civil Rights,Significant,SchutteGod,,12853,3932,2016-06-05 12:00:01-04:00
376,Pesticide Regulations,Environmental,Agriculture,New Dukaine,Araraukar,12239,2169,2016-06-18 00:00:01-04:00
377,"Repeal ""Preventing Animal Abuse""",Repeal,372,Imperium Anglorum,,11285,2720,2016-06-29 00:00:01-04:00
378,Digital Network Defense,International Security,Mild,Excidium Planetis,,10125,3165,2016-07-04 12:00:01-04:00
379,"Repeal ""Nuclear Arms Protocol""",Repeal,308,Plessur,,8605,3977,2016-07-11 00:00:01-04:00
380,Humanitarian Aid Expansion Act,Health,International Aid,Ichu,,10684,6221,2016-07-20 00:00:01-04:00
381,"Repeal ""Humanitarian Aid Expansion Act""",Repeal,380,Imperium Anglorum,,10879,3533,2016-07-28 12:00:02-04:00
382,Environmental Warfare Act,Global Disarmament,Mild,West Angola,,10201,5906,2016-08-10 12:00:02-04:00
383,Right to Sexual Privacy,Civil Rights,Significant,Bananaistan,,12233,2027,2016-08-20 12:00:02-04:00
384,"Repeal ""Foreign Patent Recognition""",Repeal,347,Wallenburg,Caracasus,9830,5654,2016-08-24 12:00:01-04:00
385,Quarantine Regulation,Health,Healthcare,Umeria,,12728,1642,2016-09-03 00:00:01-04:00
386,Reducing Statelessness,Civil Rights,Mild,Imperium Anglorum,,14100,3517,2016-10-24 12:00:02-04:00
387,"Repeal ""Quarantine Regulation""",Repeal,385,Umeria,,15674,2653,2016-11-07 12:00:01-05:00
388,Foreign Patent Act,Free Trade,Mild,Wallenburg,,10008,9026,2016-11-27 12:00:02-05:00
389,Rights of the Quarantined,Health,Healthcare,Umeria,,14782,4632,2016-12-02 12:00:02-05:00
390,Compliance Commission,International Security,Mild,Imperium Anglorum,,13286,5812,2016-12-12 00:00:01-05:00
391,Securing Nuclear Materials from dastardly Menaces,International Security,Mild,Imperium Anglorum,,10874,8848,2016-12-16 00:00:02-05:00
392,"Repeal ""Securing Nuclear Materials from dastardly Menaces""",Repeal,391,Wallenburg,,13394,4244,2016-12-24 00:00:01-05:00
393,"Repeal ""Foreign Patent Act""",Repeal,388,Auralia,,15011,2798,2017-02-27 12:00:01-05:00
394,International Patent Agreement,Free Trade,Mild,Auralia,,13985,4134,2017-03-11 12:00:01-05:00
395,Open Internet Order,Social Justice,Mild,The Free and Sovereign State of Thailand,,14893,3487,2017-03-16 00:00:01-04:00
396,"Repeal ""Open Internet Order""",Repeal,395,Imperium Anglorum,,14459,3232,2017-03-22 00:00:02-04:00
397,World Assembly Central Library Compact,Education and Creativity,Cultural Heritage,The United Royal Islands of Euramathania,,16203,1754,2017-03-26 12:00:01-04:00
398,Internet Neutrality Act,Social Justice,Mild,Draconae,,13631,5017,2017-04-07 00:00:01-04:00
399,Responsibility in Transferring Arms,Global Disarmament,Mild,Sciongrad,,12006,5040,2017-04-16 00:00:01-04:00
400,World Assembly Central Medicinal Database Compact,Health,Research,Xerox Prime,,14370,3837,2017-05-09 12:00:01-04:00
401,Stock Exchanges and Foreign investment,Free Trade,Mild,United Federated States of Omega,,11041,7627,2017-05-13 12:00:02-04:00
402,"Repeal ""World Assembly Central Medicinal Database Compact""",Repeal,400,Helaw,,10788,7169,2017-05-17 12:00:02-04:00
403,Trade of Endangered Organisms ,Environmental,All Businesses - Strong,Ransium,Bears Armed,11311,3130,2017-06-28 12:00:02-04:00
404,Enabling The Disabled In Academia,Education and Creativity,Educational,The United Federation of Algorenia,,9219,5744,2017-07-25 03:01:18-04:00
405,"Repeal ""Enabling The Disabled In Academia""",Repeal,404,Imperium Anglorum,,10400,3714,2017-08-06 12:00:02-04:00
406,"Repeal ""Internet Neutrality Act""",Repeal,398,Auralia,,9305,5290,2017-08-21 12:00:02-04:00
407,Convention on Internet Neutrality,Free Trade,Mild,Auralia,,13899,1331,2017-09-16 00:00:01-04:00
408,Ban on Secret Treaties,Furtherment of Democracy,Mild,Imperium Anglorum,,9189,5768,2017-10-02 12:00:01-04:00
409,Ocean Noise Reduction,Environmental,All Businesses - Strong,Imperium Anglorum,,11514,3587,2017-10-09 00:00:01-04:00
410,Marriage Equality,Civil Rights,Significant,The Provisional State of Nevada,New Gren Artle,10476,6179,2017-10-13 00:00:01-04:00
411,"Repeal ""Marriage Equality""",Repeal,410,Imperium Anglorum,,12704,3219,2017-10-21 00:00:02-04:00
412,Public Health and Vaccinations Act,Health,Healthcare,Imperium Anglorum,,15388,1738,2017-10-30 12:00:01-04:00
413,Wetland Protection Protocol,Environmental,All Businesses - Strong,Separatist Peoples,,14511,2751,2017-11-09 00:00:02-05:00
414,Freedom to Seek Medical Care,Civil Rights,Mild,New Waldensia,,9643,7425,2017-11-14 00:00:02-05:00
415,"Repeal ""Freedom to Seek Medical Care""",Repeal,414,Separatist Peoples,,14161,3093,2017-11-19 00:00:01-05:00
416,Ban on Ritual Sacrifice,Civil Rights,Mild,Imperial Polk County,,11976,5035,2017-11-25 12:00:02-05:00
417,Restrictions on Hydraulic Fracturing,Environmental,All Businesses - Strong,United Massachusetts,,12080,5327,2017-11-29 12:00:01-05:00
418,Safeguarding Nuclear Materials,International Security,Mild,Imperium Anglorum,,14404,3501,2017-12-13 00:00:02-05:00
419,Voting Equality for Freed Inmates,Furtherment of Democracy,Mild,United Massachusetts,,14315,3117,2018-01-05 00:00:02-05:00
420,Protection of Biomedical Research,Health,Research,Tinfect Diplomatic Enclave,,13766,3856,2018-01-11 12:00:01-05:00
421,Ozone Layer Protection,Environmental,Manufacturing,Bears Armed Mission,,15214,2998,2018-01-15 12:00:02-05:00
422,Promoting Sustainable Timber,Advancement of Industry,Protective Tariffs,Uan aa Boa,,11707,6787,2018-02-07 12:00:02-05:00
423,"Repeal ""Promoting Sustainable Timber""",Repeal,422,Kranostav,,12645,6418,2018-02-16 00:00:01-05:00
424,"Repeal ""Protection of Biomedical Research""",Repeal,420,Auralia,,10293,9288,2018-02-27 00:00:02-05:00
425,Protection of Biomedical Research,Health,Research,Tinfect Diplomatic Enclave,,15041,4595,2018-03-04 00:00:02-05:00
426,Protecting Minority Languages,Education and Creativity,Cultural Heritage,Stoskavanya,,16681,3620,2018-03-16 12:00:01-04:00
427,Convention on Foreign Political Corruption,Furtherment of Democracy,Significant,Auralia,,15322,4545,2018-04-08 12:00:03-04:00
428,Ban on Statutory Limitations for Heinous Crimes,Civil Rights,Mild,Auralia,,16701,3659,2018-04-14 12:00:01-04:00
429,Traditional Medicine,Health,Research,Bears Armed Mission,,15760,3933,2018-05-10 00:00:02-04:00
430,Freedom of Religion,Civil Rights,Significant,United Massachusetts,,14304,4471,2018-05-31 00:00:03-04:00
431,Agricultural Invasive Species Act,Advancement of Industry,Protective Tariffs,The Wallenburgian World Assembly Offices,,11131,6364,2018-06-04 00:00:01-04:00
432,Preventing Desertification,Environmental,Agriculture,Erithaca,,11231,6925,2018-06-08 00:00:01-04:00
433,"Repeal ""Freedom of Expression""",Repeal,30,Imperium Anglorum,,13250,3681,2018-06-22 00:00:02-04:00
434,Preventing the Illicit Trade of Cultural Artefacts,Education and Creativity,Cultural Heritage,Stoskavanya,,13524,1968,2018-06-27 00:00:01-04:00
435,"Asbestos Consumption, Disposal and Worker Protection",Environmental,All Businesses - Mild,Erithaca,,8721,5516,2018-07-01 00:00:02-04:00
436,Protecting Free Expression,Civil Rights,Significant,United Massachusetts,,12495,3443,2018-08-02 12:00:02-04:00
437,Ban on Conversion Therapy,Civil Rights,Mild,United Massachusetts,,14123,2300,2018-08-06 12:00:02-04:00
438,"Repeal ""Crime and Punishment""",Repeal,375,United Massachusetts,,11284,3827,2018-08-16 12:00:02-04:00
439,Uniform Labeling of Hazardous Goods,Free Trade,Mild,Ransium,,14184,1108,2018-08-20 12:00:02-04:00
440,Administrative Compliance Act,Furtherment of Democracy,Significant,Separatist Peoples,Imperium Anglorum,11084,4011,2018-08-28 12:00:02-04:00
441,Convention on Freshwater Shortages,Environmental,All Businesses - Mild,Rovikstead,"Araraukar, Kenmoria",12864,2161,2018-09-01 12:00:02-04:00
442,Circulation of World Assembly Law,Education and Creativity,Educational,The Wallenburgian World Assembly Offices,,12053,2588,2018-09-09 12:00:02-04:00
443,Preventing the Execution of Innocents,Civil Rights,Mild,Imperium Anglorum,,9244,8475,2018-09-18 00:00:01-04:00
444,Convention on International Oil Spills,Environmental,Mining,Rovikstead,,12810,4372,2018-09-26 00:00:01-04:00
445,Greenhouse Gas Cap and Trade Program ,Environmental,All Businesses - Strong,Ransium,Imperium Anglorum,13741,2606,2018-10-10 00:00:02-04:00
446,"Repeal ""Convention on International Oil Spills""",Repeal,444,Lord Dominator,,13189,3151,2018-10-14 00:00:01-04:00
447,Respondeat Superior,Regulation,Legal Reform,Separatist Peoples,,8727,7070,2018-10-25 00:00:01-04:00
448,Right to Self-defense,Civil Rights,Mild,Nueva Rico,Dirito-opolis,9737,7685,2018-11-02 00:00:01-04:00
449,"Repeal ""Right to Self-defense""",Repeal,448,Imperium Anglorum,,13666,3895,2018-11-07 00:00:01-05:00
450,Don't Kill the Poor Act,Civil Rights,Significant,The Wallenburgian World Assembly Offices,,14051,3344,2018-11-15 00:00:02-05:00
451,International Aero-Space Administration,Education and Creativity,Educational,Separatist Peoples,,13992,1357,2018-11-27 00:00:01-05:00
452,"Repeal ""On Universal Jurisdiction""",Repeal,312,Imperium Anglorum,,14849,2065,2018-12-01 00:00:02-05:00
453,Preventing Groundwater Contamination,Environmental,All Businesses - Mild,Wallenburg,,13538,2183,2019-01-09 12:00:02-05:00
454,Debtor Voting Rights,Furtherment of Democracy,Mild,Imperium Anglorum,,9614,6991,2019-01-18 00:00:02-05:00
455,"Repeal ""Debtor Voting Rights""",Repeal,454,Nagatar Karumuttu Chettiar,,10936,5079,2019-01-23 00:00:02-05:00
456,Freedom to Seek Medical Care II,Civil Rights,Mild,New Waldensia,,8071,7772,2019-01-27 00:00:01-05:00
457,defending the rights of sexual and gender minorities,Civil Rights,Significant,Maowi,,8777,7400,2019-02-12 00:00:02-05:00
458,Command Responsibility,International Security,Mild,Separatist Peoples,,13019,3121,2019-02-19 00:00:02-05:00
459,On Tobacco and Electronic Cigarettes,Regulation,Consumer Protection,Cosmosplosion,"Akohos, Courelli",14396,2960,2019-02-23 00:00:01-05:00
460,Astronomical Data Repository,Education and Creativity,Educational,Kranostav,,16667,988,2019-04-06 00:00:02-04:00
461,Protecting Personal Data,Regulation,Consumer Protection,Marxist Germany,,9867,6438,2019-04-15 00:00:02-04:00
462,"Repeal ""Protecting Personal Data""",Repeal,461,Imperium Anglorum,,11917,4013,2019-04-24 00:00:01-04:00
463,"Repeal ""Endangered Species Protection""",Repeal,66,Ransium,,13539,2859,2019-04-30 12:00:02-04:00
464,Protection of Airspace,Regulation,Transportation,East Meranopirus,,9737,6749,2019-05-05 00:00:02-04:00
465,Preventing Species Extinction,Environmental,All Businesses - Strong,Ransium,,13529,1521,2019-05-09 00:00:02-04:00
466,World Assembly Justice Accord,Civil Rights,Strong,Wallenburg,,11753,3001,2019-06-11 12:00:02-04:00
467,Affordable Transgender Hormone Therapy,Civil Rights,Mild,Morover,United Massachusetts,10855,3309,2019-07-16 12:00:01-04:00
468,Prohibit Private Prisons,Social Justice,Mild,Christian Democrats,,8576,6401,2019-07-22 00:00:02-04:00
469,Reducing Food Waste,Social Justice,Mild,Kenmoria,"Australian Republic, Dmitry II",11161,1902,2019-08-22 00:00:02-04:00
470,"Repeal ""Prohibit Private Prisons""",Repeal,468,Marxist Germany,,10599,3354,2019-09-28 00:00:01-04:00
471,"Repeal ""Preventing Desertification""",Repeal,432,Concrete Slab,,11639,1797,2019-10-04 12:00:02-04:00
472,Ban on Sterilisation of Minors etc,Civil Rights,Mild,Imperium Anglorum,,10312,3139,2019-10-22 00:00:02-04:00
